BAIRRO,MARCA_OBJETO,DIA_SEMANA,PERIODO,IDADE,SEXO
JARDIM PAULISTA,Samsung,QUINTA,NOITE,49,HOMEM
REPUBLICA,Samsung,DOMINGO,MADRUGADA,23,MULHER
JARDIM SANTA TEREZINHA (ZONA LESTE),Outros,DOMINGO,TARDE,27,HOMEM
SANTA CECILIA,Samsung,QUARTA,TARDE,80,MULHER
IGUATEMI,Samsung,SEGUNDA,NOITE,30,MULHER
VILA GOMES CARDIM,Outros,QUINTA,MANHA,15,HOMEM
LIBERDADE,Samsung,SEGUNDA,NOITE,81,MULHER
JABAQUARA,Asus,TERCA,NOITE,20,MULHER
FREGUESIA DO O,Samsung,DOMINGO,NOITE,18,MULHER
CAPAO REDONDO,Apple,SABADO,NOITE,54,HOMEM
PINHEIROS,Samsung,SEXTA,NOITE,81,HOMEM
JARDIM PAULISTA,Apple,SEXTA,TARDE,37,MULHER
CAMPO BELO,Motorola,TERCA,TARDE,23,MULHER
LAPA DE BAIXO,Samsung,QUINTA,TARDE,20,MULHER
JARDIM MITSUTANI,Apple,SEGUNDA,TARDE,18,MULHER
GUAIANASES,Samsung,SABADO,NOITE,50,MULHER
JARDIM ROBRU,Samsung,SEXTA,NOITE,43,HOMEM
ITAIM BIBI,Apple,TERCA,NOITE,79,HOMEM
SAPOPEMBA,Apple,SEXTA,TARDE,36,HOMEM
BRAS,Apple,SEXTA,NOITE,29,MULHER
JABAQUARA,Xiaomi,SABADO,MADRUGADA,15,HOMEM
LIBERDADE,Samsung,QUINTA,NOITE,29,MULHER
GUAIANASES,Samsung,SEXTA,MADRUGADA,41,MULHER
REPUBLICA,Apple,SEXTA,MADRUGADA,19,MULHER
BUTANTA,Samsung,QUINTA,NOITE,18,HOMEM
ALTO DE PINHEIROS,Apple,SEXTA,TARDE,37,HOMEM
JARDIM PERI,Samsung,QUINTA,MADRUGADA,35,HOMEM
PINHEIROS,Apple,SEXTA,TARDE,33,MULHER
CONJUNTO PROMORAR SAPOPEMBA,Samsung,SEXTA,NOITE,20,MULHER
CAPAO REDONDO,Samsung,QUARTA,NOITE,58,HOMEM
CUPECE,Samsung,SABADO,MANHA,35,HOMEM
IGUATEMI,Samsung,SABADO,NOITE,74,HOMEM
PIRITUBA,Samsung,QUINTA,NOITE,46,HOMEM
VILA CONGONHAS,Apple,QUARTA,NOITE,83,MULHER
VILA CARRAO,Xiaomi,SEGUNDA,NOITE,28,HOMEM
CIDADE ADEMAR,Samsung,QUINTA,TARDE,35,MULHER
CAMPO GRANDE,Samsung,TERCA,NOITE,48,MULHER
VILA INDUSTRIAL ( VILA NOVA CURUCA),Xiaomi,QUINTA,NOITE,36,MULHER
FREGUESIA DO O,Apple,SABADO,MADRUGADA,25,MULHER
BUTANTA,Samsung,QUINTA,MANHA,51,MULHER
PONTE RASA,Motorola,QUINTA,TARDE,49,MULHER
IGUATEMI,Motorola,TERCA,MANHA,22,MULHER
ITAIM PAULISTA,Samsung,SEGUNDA,NOITE,53,HOMEM
PIRITUBA,Outros,SEGUNDA,TARDE,37,MULHER
ITAQUERA,Samsung,QUARTA,MADRUGADA,22,HOMEM
JARDINS RECANTO DAS ROSAS,Samsung,DOMINGO,NOITE,44,MULHER
JD SAO LUIS,Xiaomi,SEXTA,MADRUGADA,23,MULHER
JAGUARA,Samsung,TERCA,TARDE,51,MULHER
CIDADE DUTRA,LG,SEGUNDA,TARDE,43,HOMEM
CAPAO REDONDO,Samsung,SABADO,MADRUGADA,43,HOMEM
TREMEMBE,Samsung,QUINTA,MADRUGADA,15,HOMEM
TATUAPE,Apple,SEXTA,MANHA,52,HOMEM
BELA VISTA,Apple,QUINTA,NOITE,55,HOMEM
ITAIM BIBI,Samsung,DOMINGO,TARDE,62,MULHER
JARDIM IBITIRAMA,Outros,SEXTA,TARDE,36,MULHER
VILA ALEXANDRIA,Samsung,SEXTA,NOITE,46,MULHER
COLONIA (ZONA LESTE),Samsung,QUINTA,MANHA,63,MULHER
SAO MATEUS,Apple,QUINTA,MANHA,29,MULHER
VILA CURUCA,Motorola,SEGUNDA,MANHA,23,HOMEM
VILA JACUI,Outros,QUINTA,MANHA,23,HOMEM
PINHEIROS,Apple,DOMINGO,TARDE,22,MULHER
VILA MISSIONARIA,Motorola,DOMINGO,NOITE,44,MULHER
PARQUE PAULISTANO,Positivo,SABADO,MANHA,56,HOMEM
VILA GUILHERME,Motorola,SABADO,TARDE,33,HOMEM
CIDADE TIRADENTES,Apple,SEXTA,NOITE,53,MULHER
JARDIM ANGELA,Samsung,SABADO,NOITE,79,MULHER
SE,Samsung,SEGUNDA,MANHA,20,MULHER
ITAQUERA,Samsung,SABADO,NOITE,27,HOMEM
JABAQUARA,Motorola,SABADO,NOITE,15,MULHER
BRAS,Apple,SABADO,TARDE,41,HOMEM
PIRITUBA,Motorola,SABADO,MADRUGADA,67,HOMEM
PONTE PEQUENA,Motorola,SEXTA,MADRUGADA,41,HOMEM
PARQUE DAS FLORES,Samsung,TERCA,NOITE,25,MULHER
JD SAO LUIS,Outros,SABADO,MADRUGADA,68,MULHER
LIBERDADE,Apple,SABADO,TARDE,31,MULHER
TATUAPE,Apple,SABADO,NOITE,54,MULHER
REPUBLICA,Samsung,QUARTA,TARDE,21,HOMEM
AGUA RASA,Samsung,SEXTA,TARDE,79,MULHER
BRAS,Samsung,QUARTA,MADRUGADA,30,MULHER
CAPAO REDONDO,Samsung,SABADO,NOITE,21,HOMEM
PARQUE PAULISTANO,Motorola,QUINTA,MANHA,68,HOMEM
JARDIM IRAPIRANGA,Samsung,SEGUNDA,MADRUGADA,58,MULHER
SAO MIGUEL,Apple,SEXTA,NOITE,32,HOMEM
PINHEIROS,Apple,QUINTA,NOITE,43,HOMEM
CASA VERDE,Xiaomi,DOMINGO,NOITE,26,MULHER
CIDADE ADEMAR,Samsung,QUINTA,NOITE,75,MULHER
VILA OLIMPIA,Outros,QUARTA,TARDE,33,MULHER
MANDAQUI,Outros,SEXTA,MADRUGADA,58,MULHER
VILA PEREIRA BARRETO,Apple,SEXTA,NOITE,27,MULHER
ITAQUERA,Apple,SEGUNDA,NOITE,81,MULHER
BELA VISTA,Samsung,QUINTA,NOITE,54,MULHER
VILA CONSTANCA,Samsung,SABADO,TARDE,18,MULHER
CIDADE DUTRA,Apple,SABADO,MADRUGADA,18,MULHER
SANTA CECILIA,Apple,DOMINGO,NOITE,32,MULHER
LUZ,Xiaomi,QUARTA,NOITE,35,HOMEM
VILA MEDEIROS,Outros,QUARTA,NOITE,37,MULHER
SACOMA,Apple,QUARTA,NOITE,36,MULHER
SANTO AMARO,Apple,QUINTA,NOITE,27,HOMEM
GRAJAU,Apple,QUARTA,MADRUGADA,49,MULHER
CHACARA INGLESA,Xiaomi,SEXTA,NOITE,18,MULHER
CAMBUCI,Outros,SEGUNDA,NOITE,32,MULHER
CAMPO LIMPO,Samsung,TERCA,NOITE,55,HOMEM
LIBERDADE,Apple,SABADO,NOITE,71,MULHER
AMERICANOPOLIS,Samsung,TERCA,TARDE,19,MULHER
BARRA FUNDA,Motorola,TERCA,MANHA,40,MULHER
GUAIANASES,Xiaomi,TERCA,NOITE,36,MULHER
CAPAO REDONDO,Samsung,QUINTA,MANHA,48,HOMEM
SACOMA,Samsung,QUARTA,MANHA,29,MULHER
JARDIM PAULISTA,Outros,DOMINGO,TARDE,28,MULHER
CAMPO LIMPO,Samsung,DOMINGO,NOITE,42,MULHER
CENTRO,Apple,TERCA,NOITE,48,HOMEM
VILA VERMELHA,Motorola,SEGUNDA,NOITE,22,MULHER
PENHA,Apple,QUINTA,NOITE,43,HOMEM
VILA NATALIA,Samsung,SEXTA,NOITE,23,HOMEM
CANGAIBA,Outros,SABADO,TARDE,48,HOMEM
VILA CUNHA BUENO,Samsung,TERCA,MANHA,30,HOMEM
MOEMA,Samsung,SEXTA,MANHA,19,HOMEM
SANTANA,Samsung,QUINTA,TARDE,30,MULHER
REPUBLICA,Apple,QUINTA,MANHA,42,MULHER
IPIRANGA,Apple,DOMINGO,TARDE,46,HOMEM
LIBERDADE,Xiaomi,QUINTA,NOITE,36,MULHER
SE,Samsung,QUARTA,TARDE,27,MULHER
SE,Samsung,QUARTA,NOITE,23,HOMEM
VILA NHOCUNE,Motorola,QUINTA,TARDE,22,HOMEM
VILA AUREA,Samsung,SEGUNDA,NOITE,37,MULHER
VILA MARIANA,Apple,TERCA,NOITE,77,MULHER
VILA MARIANA,LG,SEGUNDA,NOITE,81,HOMEM
CAMPO GRANDE,Apple,QUINTA,TARDE,42,HOMEM
TATUAPE,Outros,SABADO,TARDE,22,HOMEM
LAJEADO,Apple,DOMINGO,NOITE,29,HOMEM
VILA SONIA,Apple,QUARTA,MADRUGADA,58,MULHER
TREMEMBE,Samsung,QUINTA,NOITE,26,MULHER
VILA MARIANA,Apple,SABADO,NOITE,48,MULHER
JARDIM NOVO SANTO AMARO,Apple,QUINTA,TARDE,34,MULHER
CAPAO REDONDO,Motorola,TERCA,NOITE,27,MULHER
ALTO DE PINHEIROS,Xiaomi,DOMINGO,MADRUGADA,41,HOMEM
