BAIRRO,MARCA_OBJETO,DIA_SEMANA,PERIODO,IDADE,SEXO,RUBRICA,DESCR_SUBTIPOLOCAL
REPUBLICA,Samsung,QUARTA,NOITE,15,MULHER,FURTO,Transporte Publico
SE,Asus,QUARTA,MANHA,62,MULHER,ROUBO,Via Publica
SE,Motorola,TERCA,NOITE,76,MULHER,ROUBO,Via Publica
LIBERDADE,Outros,TERCA,NOITE,25,HOMEM,FURTO,Transporte Publico
LIBERDADE,LG,SEGUNDA,MANHA,38,HOMEM,ROUBO,Via Publica
SE,Samsung,SEXTA,MADRUGADA,20,HOMEM,ROUBO,Transporte Publico
SE,Samsung,SEXTA,MANHA,41,MULHER,FURTO,Estabelecimentos Comerciais / Industrias
SE,Samsung,SEXTA,MANHA,62,MULHER,FURTO,Estabelecimentos Comerciais / Industrias
LIBERDADE,Apple,QUARTA,MANHA,18,MULHER,FURTO,Via Publica
LIBERDADE,Xiaomi,QUARTA,TARDE,29,MULHER,FURTO,Via Publica
REPUBLICA,Samsung,QUARTA,TARDE,45,HOMEM,ROUBO,Via Publica
SE,Apple,DOMINGO,MANHA,30,HOMEM,FURTO,Via Publica
SE,Apple,QUARTA,TARDE,53,HOMEM,FURTO,Via Publica
SE,Apple,QUARTA,TARDE,20,HOMEM,FURTO,Estabelecimentos Comerciais / Industrias
SE,Apple,QUARTA,MANHA,40,MULHER,FURTO,Via Publica
SE,Apple,QUARTA,TARDE,42,HOMEM,ROUBO,Via Publica
LIBERDADE,Xiaomi,QUARTA,NOITE,50,HOMEM,FURTO,Via Publica
SE,Samsung,QUARTA,TARDE,38,MULHER,FURTO,Via Publica
SE,Samsung,QUARTA,TARDE,46,MULHER,FURTO,Via Publica
BELA VISTA,Apple,QUARTA,NOITE,26,MULHER,FURTO,Via Publica
SE,Apple,QUARTA,TARDE,26,HOMEM,FURTO,Transporte Publico
REPUBLICA,Xiaomi,QUARTA,MANHA,31,MULHER,ROUBO,Via Publica
JARDIM JUSSARA,Apple,QUARTA,MADRUGADA,46,MULHER,ROUBO,Via Publica
SE,Samsung,SEGUNDA,TARDE,36,MULHER,FURTO,Via Publica
SE,Samsung,TERCA,NOITE,53,HOMEM,ROUBO,Via Publica
SE,Samsung,DOMINGO,TARDE,68,MULHER,ROUBO,Via Publica
SE,Apple,QUINTA,MADRUGADA,51,MULHER,FURTO,Via Publica
SE,Apple,QUINTA,MADRUGADA,25,MULHER,FURTO,Via Publica
LIBERDADE,Motorola,QUINTA,MANHA,50,MULHER,FURTO,Via Publica
SE,Motorola,QUARTA,MANHA,33,MULHER,FURTO,Via Publica
SE,Xiaomi,QUINTA,MANHA,45,MULHER,FURTO,Transporte Privado
LIBERDADE,Apple,SABADO,NOITE,51,MULHER,FURTO,Via Publica
SE,Motorola,QUINTA,MADRUGADA,45,MULHER,ROUBO,Via Publica
SE,Apple,QUINTA,MANHA,53,MULHER,FURTO,Transporte Privado
SE,Apple,QUINTA,TARDE,42,HOMEM,FURTO,Alimentacao
LIBERDADE,Motorola,QUINTA,TARDE,31,HOMEM,FURTO,Via Publica
SE,Samsung,QUINTA,TARDE,50,HOMEM,FURTO,Via Publica
LIBERDADE,Xiaomi,QUINTA,NOITE,19,MULHER,FURTO,Via Publica
SE,Apple,QUARTA,TARDE,44,MULHER,ROUBO,Via Publica
SE,Motorola,TERCA,MADRUGADA,47,MULHER,ROUBO,Via Publica
